time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2021-03-28,184.24,197.54,182.28,193.66,NaN,NaN,NaN,NaN,182.28,197.54,182.28,197.54,196.8055885,195.8345656,187.5948282,51.80420053
2021-03-29,193.68,200.08,190.18,195.73,NaN,NaN,NaN,NaN,190.18,200.08,190.18,200.08,196.4424663,192.9814949,186.4748626,53.03769392
2021-03-30,195.74,199,187.15,196.88,NaN,NaN,NaN,NaN,187.15,199,187.15,199,195.5707381,191.071308,185.9098901,53.74594883
2021-03-31,196.9,204.95,194.14,202.67,NaN,NaN,NaN,NaN,194.14,204.95,194.14,204.95,194.7287582,189.9367695,186.7099121,57.24233627
2021-04-01,202.74,213.56,200.79,211.5,NaN,NaN,NaN,NaN,200.79,213.56,200.79,213.56,193.0580845,189.1509233,188.3939296,61.96435189
2021-04-02,211.4,217.88,195.05,195.34,NaN,NaN,NaN,NaN,200.79,213.56,200.79,213.56,191.8766934,189.2458079,189.3301437,50.88805391
2021-04-03,195.26,204.74,191.9,202.26,NaN,NaN,NaN,NaN,200.79,213.56,200.79,213.56,191.1165631,189.9813319,191.373115,54.62819669
2021-04-04,202.26,225,198.11,221.44,NaN,NaN,NaN,NaN,198.11,225,198.11,225,190.5422121,190.3680404,194.533492,63.03165796
2021-04-05,221.42,244.54,213,237.09,NaN,NaN,NaN,NaN,213,244.54,213,244.54,190.4935804,191.5151604,196.9197936,68.20612933
2021-04-06,237.23,242.96,211,219.33,NaN,NaN,NaN,NaN,211,242.96,211,242.96,190.8502281,193.4726403,197.1998349,58.24305316
2021-04-07,219.2,228,217,226.24,NaN,NaN,NaN,NaN,217,228,217,228,191.0213644,195.0966853,200.0708679,60.65140036
2021-04-08,226.17,228.96,218.84,221.07,NaN,NaN,NaN,NaN,218.84,228.96,218.84,228.96,191.6770287,195.4995996,205.8106943,57.95799991
2021-04-09,221.12,256.63,219.02,255.94,NaN,NaN,NaN,NaN,218.84,228.96,218.84,228.96,192.8691803,197.5065247,210.0445555,68.21157283
2021-04-10,256.25,262.98,244.48,252.44,NaN,NaN,NaN,NaN,218.84,228.96,218.84,228.96,193.9150126,201.4144591,212.5356444,66.45950963
2021-04-11,252.31,258.69,240.14,244.35,NaN,NaN,NaN,NaN,240.14,258.69,240.14,258.69,194.2538578,204.6101517,214.8085155,62.46560391
2021-04-12,244.4,273.3,244.33,267.77,NaN,NaN,NaN,NaN,244.33,273.3,244.33,273.3,195.5847149,206.8463827,219.4118124,68.38820963
2021-04-13,267.77,283.2,255,278.85,NaN,NaN,NaN,NaN,255,283.2,255,283.2,198.1374291,208.9780849,226.2754499,70.74048452
2021-04-14,278.75,291.25,266.01,286.18,NaN,NaN,NaN,NaN,266.01,291.25,266.01,291.25,200.3560884,212.5839493,230.9033599,72.21354642
2021-04-15,286.18,319.94,266.21,308.75,NaN,NaN,NaN,NaN,266.21,319.94,266.21,319.94,202.0594662,217.7272056,236.4856879,76.18866336
2021-04-16,308.86,335.35,297.41,301.1,NaN,NaN,NaN,NaN,266.21,319.94,266.21,319.94,203.7395073,221.6881799,243.0085504,72.40758721
2021-04-17,301.05,305.33,241.09,274.2,NaN,NaN,NaN,NaN,266.21,319.94,266.21,319.94,206.3614683,226.3290324,250.1328403,60.9526394
2021-04-18,274.13,283.69,249.06,261.56,NaN,NaN,NaN,NaN,249.06,283.69,249.06,283.69,210.0052015,231.6754034,258.7212722,56.43475456
2021-04-19,261.7,276.47,233.85,261.01,NaN,NaN,NaN,NaN,233.85,276.47,233.85,276.47,213.0367244,237.544728,270.2530178,56.2394179
2021-04-20,260.87,276.97,251.17,257.78,NaN,NaN,NaN,NaN,251.17,276.97,251.17,276.97,216.5581303,244.486012,270.8444142,55.03466506
2021-04-21,257.84,289.8,239.13,252.65,NaN,NaN,NaN,NaN,239.13,289.8,239.13,289.8,220.5998125,253.4727605,269.9505314,53.08946179
2021-04-22,252.74,257.07,207.1,241.67,NaN,NaN,NaN,NaN,207.1,257.07,207.1,257.07,225.0636731,255.9399154,266.9924251,49.09008684
2021-04-23,241.74,241.79,220.84,225.3,NaN,NaN,NaN,NaN,207.1,257.07,207.1,257.07,230.2953136,257.244301,266.4079401,43.79319121
2021-04-24,225.28,235.86,211.07,224.18,NaN,NaN,NaN,NaN,207.1,257.07,207.1,257.07,236.9172126,256.9837634,266.0193521,43.4477699
2021-04-25,224.25,248.36,221.25,247.65,NaN,NaN,NaN,NaN,221.25,248.36,221.25,248.36,239.7089655,257.8695429,259.2324817,51.99305168
2021-04-26,247.6,264,243.81,259.96,NaN,NaN,NaN,NaN,243.81,264,243.81,264,241.7601989,258.6939751,253.6489853,55.76825521
2021-04-27,259.99,267,248.51,258.81,NaN,NaN,NaN,NaN,248.51,267,248.51,267,242.7909528,255.3678532,247.6121883,55.33050599
2021-04-28,258.79,262.99,248.75,255.51,NaN,NaN,NaN,NaN,248.75,262.99,248.75,262.99,244.4278026,252.3612465,245.0507506,54.02013351
2021-04-29,255.5,273.87,252.74,271.59,NaN,NaN,NaN,NaN,252.74,273.87,252.74,273.87,245.9691255,248.7492157,246.8216005,59.10268415
2021-04-30,271.6,278.71,266.17,277,NaN,NaN,NaN,NaN,252.74,273.87,252.74,273.87,244.9011158,247.0061888,249.0082804,60.67757411
2021-05-01,277.02,277.64,265,269.1,NaN,NaN,NaN,NaN,252.74,273.87,252.74,273.87,243.85603,247.8685402,250.3806243,57.21288879
